pressure,depth,temperature,Salinity,density,oxygen
385,382.529,8.8753,34.4724,1028.4702,1.43437
386,383.521,8.732,34.4861,1028.5091,1.43591
387,384.514,8.6713,34.4895,1028.5262,1.43111
388,385.507,8.6104,34.492,1028.5427,1.42745
389,386.499,8.561,34.4942,1028.557,1.42884
390,387.492,8.5263,34.496,1028.5686,1.42025
391,388.485,8.4558,34.4984,1028.5864,1.41824
392,389.477,8.4263,34.5003,1028.5973,1.41422
393,390.47,8.3875,34.5021,1028.6095,1.40801
394,391.462,8.3816,34.5023,1028.615,1.40637
395,392.455,8.3783,34.5013,1028.6194,1.39783
396,393.448,8.3736,34.5011,1028.6245,1.39521
397,394.44,8.3729,34.5006,1028.6287,1.39537
398,395.433,8.3718,34.5005,1028.6333,1.39451
399,396.426,8.3691,34.5003,1028.6381,1.39103
400,397.418,8.3666,34.4999,1028.6427,1.38596
401,398.411,8.3598,34.4997,1028.6482,1.38512
402,399.403,8.3355,34.4998,1028.6567,1.38481
403,400.396,8.3131,34.501,1028.6658,1.38564
404,401.388,8.3052,34.5024,1028.6727,1.38751
405,402.381,8.3045,34.5017,1028.6767,1.38456
406,403.373,8.303,34.5017,1028.6815,1.38184
407,404.366,8.3011,34.5016,1028.6863,1.37882
408,405.359,8.3012,34.5014,1028.6906,1.37796
409,406.351,8.2999,34.5011,1028.6951,1.37599
410,407.344,8.2949,34.5011,1028.7005,1.37646
411,408.336,8.2878,34.5018,1028.7066,1.37937
412,409.329,8.284,34.5018,1028.7118,1.37626
413,410.321,8.2831,34.5018,1028.7165,1.37392
414,411.314,8.2826,34.5014,1028.7208,1.37229
415,412.306,8.2819,34.5015,1028.7255,1.37448
416,413.299,8.2819,34.5014,1028.7299,1.37763
417,414.291,8.2814,34.5011,1028.7343,1.37633
418,415.284,8.2803,34.5013,1028.7392,1.37352
419,416.276,8.2795,34.501,1028.7436,1.37103
420,417.269,8.2787,34.5007,1028.748,1.37221
421,418.261,8.278,34.5008,1028.7527,1.37414
422,419.254,8.276,34.5009,1028.7576,1.37504
423,420.246,8.2755,34.501,1028.7623,1.37317
424,421.239,8.2749,34.5011,1028.767,1.37356
425,422.231,8.2675,34.5012,1028.7728,1.37288
426,423.224,8.2634,34.5017,1028.7783,1.37225
427,424.216,8.2628,34.5015,1028.7828,1.37301
428,425.209,8.2608,34.5014,1028.7876,1.3727
429,426.201,8.2545,34.5015,1028.7932,1.37403
430,427.194,8.2401,34.5019,1028.8004,1.37457
431,428.186,8.221,34.5028,1028.8087,1.37385
432,429.178,8.1944,34.5048,1028.8189,1.37343
433,430.171,8.1848,34.5057,1028.8258,1.37482
434,431.163,8.184,34.5057,1028.8304,1.37485
435,432.156,8.1825,34.5055,1028.835,1.37349
436,433.148,8.1781,34.5053,1028.8401,1.37413
437,434.14,8.163,34.5064,1028.8479,1.37718
438,435.133,8.1629,34.5065,1028.8525,1.37738
439,436.125,8.1604,34.5064,1028.8573,1.37554
440,437.118,8.1581,34.5065,1028.8624,1.3738
441,438.11,8.1547,34.5066,1028.8675,1.37419
442,439.103,8.1498,34.5069,1028.873,1.37432
443,440.095,8.1455,34.5069,1028.8782,1.37691
444,441.088,8.1399,34.5072,1028.8839,1.37468
445,442.08,8.1328,34.5076,1028.8898,1.37466
446,443.072,8.1283,34.508,1028.8954,1.37653
447,444.065,8.1194,34.5079,1028.9012,1.37437
448,445.057,8.0823,34.5101,1028.9134,1.37523
449,446.049,8.0695,34.5114,1028.921,1.37128
450,447.041,8.0569,34.5116,1028.9277,1.373
451,448.034,8.0409,34.5128,1028.9357,1.37626
452,449.026,8.0255,34.5135,1028.9432,1.37549
453,450.019,8.0145,34.5141,1028.9499,1.37331
454,451.011,7.999,34.5147,1028.9574,1.37324
455,452.003,7.9871,34.5157,1028.9646,1.3756
456,452.996,7.9783,34.5153,1028.9702,1.37618
457,453.988,7.9508,34.5173,1028.9807,1.37664
458,454.98,7.9344,34.5181,1028.9884,1.37335
459,455.973,7.9242,34.5186,1028.9949,1.37145
460,456.964,7.9085,34.519,1029.0023,1.37502
461,457.957,7.8843,34.5204,1029.0117,1.37758
462,458.949,7.85,34.5217,1029.0227,1.37736
463,459.942,7.8103,34.5245,1029.0356,1.37537
464,460.934,7.7616,34.5265,1029.0493,1.37696
465,461.926,7.7465,34.5276,1029.0571,1.3776
466,462.918,7.7349,34.5282,1029.0638,1.37803
467,463.911,7.7317,34.528,1029.0687,1.37805
468,464.903,7.7283,34.5277,1029.0736,1.37533
469,465.895,7.7261,34.5275,1029.0783,1.37978
470,466.887,7.7187,34.5274,1029.0839,1.37463
471,467.88,7.7173,34.5277,1029.0889,1.37546
472,468.872,7.7147,34.5274,1029.0935,1.37866
473,469.864,7.6962,34.5271,1029.1008,1.37674
474,470.857,7.6688,34.5299,1029.1117,1.3774
475,471.849,7.6661,34.5292,1029.1161,1.37508
476,472.841,7.6421,34.5292,1029.1244,1.3758
477,473.833,7.6066,34.5323,1029.1369,1.37811
478,474.826,7.6006,34.5326,1029.1426,1.37807
479,475.818,7.5905,34.5325,1029.1486,1.37824
480,476.81,7.581,34.5328,1029.1548,1.37894
481,477.802,7.5695,34.5317,1029.1602,1.37326
482,478.794,7.5209,34.5349,1029.1748,1.37696
483,479.787,7.5113,34.5362,1029.1818,1.38044
484,480.779,7.5094,34.5359,1029.1865,1.38094
485,481.771,7.5086,34.5355,1029.1908,1.37956
486,482.763,7.5078,34.5351,1029.1952,1.37794
487,483.755,7.5076,34.5351,1029.1997,1.3818
488,484.748,7.5074,34.5351,1029.2042,1.38267
489,485.74,7.5069,34.5349,1029.2087,1.38014
490,486.732,7.5052,34.5349,1029.2135,1.37782
491,487.724,7.5035,34.5349,1029.2183,1.37624
492,488.716,7.5024,34.5348,1029.2229,1.3815
493,489.708,7.5018,34.5349,1029.2276,1.38066
494,490.7,7.501,34.5347,1029.2321,1.37978
495,491.693,7.5007,34.5348,1029.2367,1.37786
496,492.685,7.4997,34.5347,1029.2414,1.38012
497,493.676,7.4982,34.5348,1029.2462,1.38181
498,494.669,7.4954,34.5349,1029.2512,1.38149
499,495.661,7.4947,34.5349,1029.2559,1.37837
500,496.653,7.4932,34.5349,1029.2607,1.382
501,497.645,7.4907,34.535,1029.2657,1.38149
502,498.637,7.4883,34.5351,1029.2706,1.3806
503,499.629,7.486,34.5346,1029.2751,1.37866
504,500.621,7.4619,34.5358,1029.2843,1.38097
505,501.614,7.4505,34.5359,1029.2907,1.38008
